goals:11,8;9,9;3,9;4,2;9,8;11,9;2,2;13,5;10,6;6,5;4,7;9,7;10,9;1,5;2,9;2,1;3,5;11,3;12,5;3,7;4,1;9,2;2,5;10,4;3,6;4,3;7,5;3,4;9,3;10,2;
room0:2,1;3,1;4,1;2,2;3,2;4,2;2,3;3,3;4,3;
11|pos:2,5;1,5;3,9;3,4;3,3;3,6;9,5;3,5;10,4;3,1;4,8;9,3;2,3;10,5;3,2;8,5;7,5;11,2;11,3;6,5;2,8;9,2;4,7;5,5;4,3;3,8;10,3;4,5;11,5;3,7;|pri:10.1667;10.0667;0.0666666;10.5333;10.4667;10.4333;10.3667;10.5;10.2;7.43333;10.0667;10.0333;10.1667;10.3;10.2333;10.5;10.5333;7.23333;10.2;10.3333;10.1667;0.0999999;10.1333;10.1;10.3333;10.2333;10.2;10.4333;10.1333;10.3;|fires:0;agent:-1
12|pos:2,5;1,5;3,9;3,3;4,3;3,6;8,5;3,4;10,5;3,1;4,8;9,3;2,3;9,5;3,2;7,5;6,5;11,3;10,3;5,5;2,7;9,2;4,7;4,5;4,2;3,8;10,4;3,5;11,5;3,7;|pri:11.1667;11.0667;0.0666666;11.5333;11.4667;11.4333;11.3667;11.1;11.2;8.43333;11.0667;11.0333;11.1667;11.3;11.2333;11.5;11.5333;0.233334;11.2;11.3333;11.1667;0.0999999;11.1333;11.5;11.3333;11.2333;11.2;11.4333;11.1333;11.3;|fires:0;agent:-1
13|pos:2,5;1,5;3,9;3,2;3,3;3,7;7,5;3,4;10,6;4,1;4,8;10,3;2,3;8,5;3,1;6,5;5,5;11,3;10,4;4,5;2,8;9,2;4,7;3,5;4,3;3,8;10,5;3,6;11,5;2,7;|pri:12.1667;12.0667;0.0666666;12.5333;12.4667;12.3333;12.3667;12.3333;0.2;9.43333;12.0667;12.0333;12.1667;12.3;12.2333;12.5;12.5333;0.233334;12.2;12.4333;12.1667;0.0999999;12.1333;12.5;12.1;12.2333;12.2;12.4333;12.1333;12.3;|fires:0;agent:-1
14|pos:2,5;1,5;3,9;4,2;3,2;3,7;6,5;3,3;10,6;4,1;4,8;10,4;2,3;7,5;3,1;5,5;4,5;11,3;10,5;3,5;2,8;9,2;4,7;3,4;4,3;3,8;9,5;3,6;11,5;2,7;|pri:13.1667;13.0667;0.0666666;0.533333;13.4667;13.3333;13.3667;13.3333;0.2;10.4333;13.0667;13.0333;13.1667;13.3;13.2333;13.5;13.5333;0.233334;13.2;13.4333;13.1667;0.0999999;13.1333;13.5;13.1;13.2333;13.2;13.4333;13.1333;13.3;|fires:0;agent:-1
15|pos:2,5;1,5;3,9;4,1;3,3;4,7;5,5;4,3;10,6;3,1;4,9;10,4;2,3;6,5;3,2;4,5;3,5;11,3;9,5;3,6;2,8;9,2;4,8;3,4;4,2;3,8;8,5;3,7;10,5;2,7;|pri:14.1667;14.0667;0.0666666;1.53333;14.4667;14.3333;14.3667;14.3333;0.2;11.4333;14.0667;14.0333;14.1667;14.3;14.2333;14.5;0.533333;0.233334;14.2;14.4333;14.1667;0.0999999;14.1333;14.5;14.1;14.2333;14.2;14.4333;14.1333;14.3;|fires:0;agent:-1
16|pos:2,5;1,5;3,9;4,2;3,4;4,7;6,5;3,3;10,6;3,1;4,9;10,3;2,3;7,5;3,2;5,5;4,5;11,3;10,5;3,6;2,8;9,2;4,8;3,5;4,3;3,8;8,5;3,7;10,4;2,7;|pri:15.1667;15.0667;0.0666666;0.533333;15.4667;15.3333;15.3667;15.3333;0.2;12.4333;15.0667;15.0333;15.1667;15.3;15.2333;15.5;1.53333;0.233334;15.2;15.4333;15.1667;0.0999999;15.1333;15.5;15.1;15.2333;15.2;15.4333;15.1333;15.3;|fires:0;agent:-1
17|pos:2,5;1,5;3,9;4,2;3,5;4,7;7,5;3,4;10,6;3,2;4,9;11,3;2,3;8,5;3,3;6,5;5,5;11,2;11,5;3,6;2,8;9,2;4,8;4,5;4,3;3,8;9,5;3,7;10,3;2,7;|pri:16.1667;16.0667;0.0666666;0.533333;16.4667;16.3333;16.3667;16.3333;0.2;13.4333;16.0667;16.0333;16.1667;16.3;16.2333;16.5;2.53333;1.23333;16.2;16.4333;16.1667;0.0999999;16.1333;16.5;16.1;16.2333;16.2;16.4333;16.1333;16.3;|fires:0;agent:-1
18|pos:2,5;1,5;3,9;4,2;4,5;3,7;8,5;3,4;10,6;3,2;4,8;10,3;2,3;9,5;3,3;7,5;6,5;11,3;12,5;3,5;2,8;9,2;4,7;5,5;4,3;3,8;10,5;3,6;9,3;2,7;|pri:17.1667;17.0667;0.0666666;0.533333;17.4667;17.3333;17.3667;17.3333;0.2;14.4333;17.0667;17.0333;17.1667;17.3;17.2333;17.5;3.53333;0.233334;0.200001;17.4333;17.1667;0.0999999;17.1333;17.5;17.1;17.2333;17.2;17.4333;0.133333;17.3;|fires:0;agent:-1
19|pos:2,5;1,5;3,9;4,2;5,5;3,6;9,5;3,3;10,6;3,2;4,8;10,3;2,2;10,5;2,3;8,5;7,5;11,3;12,5;3,4;2,7;9,2;4,7;6,5;4,3;3,8;10,4;3,5;9,3;3,7;|pri:18.1667;18.0667;0.0666666;0.533333;18.4667;18.3333;18.3667;18.3333;0.2;15.4333;18.0667;18.0333;18.1667;18.3;18.2333;18.5;4.53333;0.233334;0.200001;18.4333;18.1667;0.0999999;18.1333;18.5;18.1;18.2333;18.2;18.4333;0.133333;18.3;|fires:0;agent:-1
20|pos:2,5;1,5;2,9;4,2;6,5;3,7;10,5;3,4;10,7;3,2;3,8;10,3;2,3;10,6;3,3;9,5;8,5;11,3;12,5;3,5;2,7;9,2;4,8;7,5;4,3;3,9;10,4;3,6;9,3;4,7;|pri:19.1667;19.0667;1.06667;0.533333;19.4667;19.3333;19.3667;19.3333;1.2;16.4333;19.0667;19.0333;19.1667;19.3;19.2333;19.5;5.53333;0.233334;0.200001;19.4333;19.1667;0.0999999;19.1333;19.5;19.1;19.2333;19.2;19.4333;0.133333;19.3;|fires:0;agent:-1
21|pos:2,5;1,5;3,9;4,2;7,5;3,6;10,4;3,3;10,7;3,2;4,8;11,3;2,2;10,6;2,3;10,5;9,5;11,2;12,5;3,4;2,7;9,2;4,7;8,5;4,3;3,8;10,3;3,5;9,3;3,7;|pri:20.1667;20.0667;0.0666666;0.533333;20.4667;20.3333;20.3667;20.3333;2.2;17.4333;20.0667;20.0333;20.1667;6.53333;20.2333;20.5;20.3;1.23333;0.200001;20.4333;20.1667;0.0999999;20.1333;20.5;20.1;20.2333;20.2;20.4333;0.133333;20.3;|fires:0;agent:-1
22|pos:2,5;1,5;3,9;4,2;8,5;3,6;10,3;3,4;10,7;3,2;4,8;11,3;2,3;10,6;3,3;10,4;10,5;11,2;12,5;3,5;2,7;9,2;4,7;9,5;4,3;3,8;10,2;4,5;9,3;3,7;|pri:21.1667;21.0667;0.0666666;0.533333;21.4667;21.3333;21.3667;21.3333;3.2;18.4333;21.0667;21.0333;21.1667;7.53333;21.2333;21.5;21.3;2.23333;0.200001;21.4333;21.1667;0.0999999;21.1333;21.5;21.1;21.2333;21.2;21.4333;0.133333;21.3;|fires:0;agent:-1
23|pos:2,5;1,5;3,9;4,2;9,5;3,7;10,2;3,4;10,7;3,2;4,8;11,3;2,3;10,6;3,3;10,3;10,4;11,1;12,5;3,6;2,8;9,2;4,7;10,5;4,3;3,8;11,2;3,5;9,3;2,7;|pri:22.1667;22.0667;0.0666666;0.533333;22.4667;22.3333;22.3667;22.3333;4.2;19.4333;22.0667;22.0333;22.1667;8.53333;22.2333;22.5;22.3;3.23333;0.200001;22.4333;22.1667;0.0999999;22.1333;22.5;22.1;22.2333;22.2;22.4333;0.133333;22.3;|fires:0;agent:-1
24|pos:2,5;1,5;3,9;4,2;8,5;3,8;10,3;3,5;10,7;3,2;4,9;11,3;3,3;10,6;3,4;10,4;10,5;11,2;12,5;3,7;2,8;9,2;4,7;9,5;4,3;4,8;10,2;3,6;9,3;2,7;|pri:23.1667;23.0667;0.0666666;0.533333;23.4667;23.3333;23.3667;23.3333;5.2;20.4333;23.0667;23.0333;23.1667;9.53333;23.2333;23.5;23.3;4.23333;0.200001;0.433334;23.1667;0.0999999;23.1333;23.5;23.1;23.2333;23.2;23.4333;0.133333;23.3;|fires:0;agent:-1
