goals:8,4;12,4;1,1;1,7;5,3;3,3;4,1;1,6;5,1;5,7;2,7;6,4;12,5;11,4;6,1;3,2;9,4;6,7;11,5;3,6;4,4;7,4;2,4;10,3;2,3;6,6;1,4;2,5;3,4;10,4;3,7;10,5;6,2;4,7;4,5;
room0:10,3;11,3;12,3;10,4;11,4;12,4;10,5;11,5;12,5;
21|pos:6,2;12,4;1,1;1,7;11,4;3,3;3,1;1,6;4,1;5,7;2,7;6,5;12,5;11,3;5,1;3,2;5,2;6,7;5,4;3,6;6,4;10,4;2,4;10,5;2,3;6,6;1,4;10,3;3,4;6,3;3,7;11,5;6,1;4,7;4,5;|pri:20.1714;0.2;0.142857;0.314285;20.2;0.285714;2.17143;0.371428;2.2;0.114285;0.257143;3.28571;0.285714;1.25714;20.1429;0.114286;4.25714;0.200001;17.0857;0.142857;20.2571;20.2;0.171429;20.3429;0.171429;0.171429;0.142857;10.3429;0.142857;18.2286;0.171429;1.02857;2.08571;0.171429;0.114285;|fires:0;agent:-1
22|pos:6,3;12,4;1,1;1,7;11,4;3,3;4,1;1,6;5,1;5,7;2,7;6,5;12,5;11,3;6,1;3,2;5,2;6,7;5,3;3,6;5,4;9,4;2,4;10,4;2,3;6,6;1,4;10,3;3,4;6,4;3,7;10,5;6,2;4,7;4,5;|pri:21.1714;0.2;0.142857;0.314285;11.3429;0.285714;0.171429;0.371428;0.2;0.114285;0.257143;4.28571;0.285714;2.25714;0.142857;0.114286;5.25714;0.200001;18.0857;0.142857;21.2571;21.2;0.171429;21.3429;0.171429;0.171429;0.142857;21.2;0.142857;19.2286;0.171429;0.0285716;0.0857143;0.171429;0.114285;|fires:0;agent:-1
23|pos:6,4;12,4;1,1;1,7;11,4;3,3;4,1;1,6;5,1;5,7;2,7;6,5;12,5;11,3;6,1;3,2;5,3;6,7;5,4;3,6;4,4;8,4;2,4;9,4;2,3;6,6;1,4;10,4;3,4;7,4;3,7;10,5;6,2;4,7;4,5;|pri:22.1714;0.2;0.142857;0.314285;12.3429;0.285714;0.171429;0.371428;0.2;0.114285;0.257143;5.28571;0.285714;3.25714;0.142857;0.114286;6.25714;0.200001;19.0857;0.142857;0.257143;22.2;0.171429;22.3429;0.171429;0.171429;0.142857;22.2;0.142857;20.2286;0.171429;0.0285716;0.0857143;0.171429;0.114285;|fires:0;agent:-1
24|pos:7,4;12,4;1,1;1,7;11,3;3,3;4,1;1,6;5,1;5,7;2,7;6,5;12,5;10,3;6,1;3,2;5,4;6,7;6,4;3,6;4,4;9,4;2,4;10,4;2,3;6,6;1,4;11,4;3,4;8,4;3,7;10,5;6,2;4,7;4,5;|pri:23.1714;0.2;0.142857;0.314285;13.3429;0.285714;0.171429;0.371428;0.2;0.114285;0.257143;6.28571;0.285714;4.25714;0.142857;0.114286;7.25714;0.200001;20.0857;0.142857;0.257143;23.2;0.171429;23.3429;0.171429;0.171429;0.142857;23.2;0.142857;21.2286;0.171429;0.0285716;0.0857143;0.171429;0.114285;|fires:0;agent:-1
25|pos:7,4;12,4;1,1;1,7;11,4;3,3;4,1;1,6;5,1;5,7;2,7;6,5;12,5;11,3;6,1;3,2;5,4;6,7;6,4;3,6;4,4;9,4;2,4;10,3;2,3;6,6;1,4;10,4;3,4;8,4;3,7;10,5;6,2;4,7;4,5;|pri:24.1714;0.2;0.142857;0.314285;14.3429;0.285714;0.171429;0.371428;0.2;0.114285;0.257143;7.28571;0.285714;5.25714;0.142857;0.114286;8.25714;0.200001;21.0857;0.142857;0.257143;24.2;0.171429;0.342857;0.171429;0.171429;0.142857;24.2;0.142857;22.2286;0.171429;0.0285716;0.0857143;0.171429;0.114285;|fires:0;agent:-1
26|pos:8,4;12,4;1,1;1,7;11,5;3,3;4,1;1,6;5,1;5,7;2,7;6,5;12,5;11,4;6,1;3,2;6,4;6,7;7,4;3,6;4,4;10,4;2,4;11,3;2,3;6,6;1,4;10,3;3,4;9,4;3,7;10,5;6,2;4,7;4,5;|pri:0.171429;0.2;0.142857;0.314285;15.3429;0.285714;0.171429;0.371428;0.2;0.114285;0.257143;8.28571;0.285714;0.257143;0.142857;0.114286;9.25714;0.200001;22.0857;0.142857;0.257143;25.2;0.171429;0.0285716;0.171429;0.171429;0.142857;1.34286;0.142857;23.2286;0.171429;25.2;0.0857143;0.171429;0.114285;|fires:0;agent:-1
27|pos:8,4;12,5;1,1;1,7;10,5;3,3;4,1;1,6;5,1;5,7;2,7;6,5;11,5;12,4;6,1;3,2;6,4;6,7;7,4;3,6;4,4;11,4;2,4;11,3;2,3;6,6;1,4;10,3;3,4;9,4;3,7;10,4;6,2;4,7;4,5;|pri:0.171429;1.2;0.142857;0.314285;16.3429;0.285714;0.171429;0.371428;0.2;0.114285;0.257143;9.28571;1.28571;1.25714;0.142857;0.114286;10.2571;0.200001;23.0857;0.142857;0.257143;26.2;0.171429;1.02857;0.171429;0.171429;0.142857;2.34286;0.142857;24.2286;0.171429;26.2;0.0857143;0.171429;0.114285;|fires:0;agent:-1
28|pos:8,4;12,4;1,1;1,7;10,5;3,3;4,1;1,6;5,1;5,7;2,7;6,5;12,5;12,3;6,1;3,2;6,4;6,7;7,4;3,6;4,4;10,4;2,4;11,4;2,3;6,6;1,4;11,3;3,4;9,4;3,7;10,3;6,2;4,7;4,5;|pri:0.171429;0.2;0.142857;0.314285;17.3429;0.285714;0.171429;0.371428;0.2;0.114285;0.257143;10.2857;0.285714;2.25714;0.142857;0.114286;11.2571;0.200001;24.0857;0.142857;0.257143;27.2;0.171429;2.02857;0.171429;0.171429;0.142857;3.34286;0.142857;25.2286;0.171429;27.2;0.0857143;0.171429;0.114285;|fires:0;agent:-1
29|pos:8,4;12,3;1,1;1,7;11,5;3,3;4,1;1,6;5,1;5,7;2,7;6,5;12,5;11,3;6,1;3,2;6,4;6,7;7,4;3,6;4,4;10,5;2,4;12,4;2,3;6,6;1,4;11,4;3,4;9,4;3,7;10,4;6,2;4,7;4,5;|pri:0.171429;1.2;0.142857;0.314285;18.3429;0.285714;0.171429;0.371428;0.2;0.114285;0.257143;11.2857;0.285714;3.25714;0.142857;0.114286;12.2571;0.200001;25.0857;0.142857;0.257143;28.2;0.171429;3.02857;0.171429;0.171429;0.142857;4.34286;0.142857;26.2286;0.171429;28.2;0.0857143;0.171429;0.114285;|fires:0;agent:-1
30|pos:8,4;11,3;1,1;1,7;10,5;3,3;4,1;1,6;5,1;5,7;2,7;6,5;12,5;10,3;6,1;3,2;6,4;6,7;7,4;3,6;4,4;10,4;2,4;12,3;2,3;6,6;1,4;12,4;3,4;9,4;3,7;11,4;6,2;4,7;4,5;|pri:0.171429;5.34286;0.142857;0.314285;19.3429;0.285714;0.171429;0.371428;0.2;0.114285;0.257143;12.2857;0.285714;4.25714;0.142857;0.114286;13.2571;0.200001;26.0857;0.142857;0.257143;29.2;0.171429;4.02857;0.171429;0.171429;0.142857;2.2;0.142857;27.2286;0.171429;29.2;0.0857143;0.171429;0.114285;|fires:0;agent:-1
